Percentage served,Time in ms
0,128.330
1,144.792
2,149.605
3,151.499
4,153.460
5,154.767
6,156.321
7,158.443
8,159.269
9,160.317
10,161.111
11,162.186
12,163.180
13,164.049
14,165.050
15,165.500
16,165.977
17,166.691
18,167.280
19,167.672
20,168.364
21,168.680
22,168.895
23,169.398
24,169.792
25,170.414
26,170.630
27,170.860
28,171.783
29,172.278
30,172.559
31,173.377
32,173.584
33,173.773
34,174.171
35,174.558
36,175.091
37,175.626
38,175.862
39,176.592
40,176.956
41,177.206
42,177.446
43,177.632
44,178.151
45,178.542
46,178.960
47,179.289
48,179.363
49,179.578
50,179.928
51,180.443
52,180.675
53,181.161
54,181.390
55,181.758
56,181.902
57,182.113
58,182.285
59,182.523
60,182.675
61,183.618
62,184.145
63,184.481
64,184.830
65,185.278
66,185.502
67,185.961
68,186.361
69,187.179
70,187.733
71,188.438
72,188.859
73,189.536
74,190.018
75,190.580
76,191.204
77,191.645
78,192.399
79,193.214
80,194.641
81,194.959
82,195.564
83,196.543
84,198.428
85,199.492
86,200.428
87,202.164
88,204.457
89,210.543
90,213.119
91,217.917
92,225.151
93,237.188
94,249.817
95,297.103
96,526.929
97,860.429
98,915.365
99,933.647
100,991.379
