Percentage served,Time in ms
0,155.842
1,174.185
2,176.685
3,179.896
4,181.473
5,182.672
6,184.917
7,186.043
8,186.823
9,187.135
10,187.834
11,188.551
12,189.055
13,189.535
14,190.408
15,191.258
16,192.029
17,193.238
18,193.467
19,194.022
20,194.625
21,195.088
22,195.207
23,195.487
24,195.793
25,196.214
26,196.996
27,197.439
28,197.795
29,198.185
30,198.425
31,199.200
32,199.511
33,200.184
34,200.644
35,201.387
36,202.089
37,202.528
38,202.722
39,202.885
40,203.387
41,203.703
42,204.209
43,204.448
44,205.031
45,205.222
46,205.629
47,205.816
48,206.712
49,207.067
50,207.571
51,208.390
52,208.963
53,209.527
54,209.741
55,210.291
56,210.590
57,210.835
58,211.139
59,211.361
60,211.982
61,213.043
62,214.004
63,214.355
64,214.782
65,215.125
66,215.672
67,216.083
68,216.366
69,217.330
70,217.830
71,218.728
72,219.140
73,219.719
74,220.488
75,220.668
76,221.401
77,222.035
78,223.358
79,224.359
80,225.578
81,226.605
82,227.707
83,230.008
84,230.719
85,233.968
86,235.124
87,238.819
88,241.340
89,245.652
90,249.273
91,255.431
92,276.045
93,292.396
94,402.439
95,552.977
96,902.023
97,917.713
98,950.474
99,983.508
100,1499.720
