Percentage served,Time in ms
0,144.709
1,149.472
2,150.533
3,152.814
4,155.626
5,157.335
6,158.718
7,161.581
8,162.773
9,163.788
10,164.774
11,165.673
12,166.710
13,167.341
14,168.159
15,168.730
16,169.397
17,170.009
18,170.650
19,170.956
20,171.481
21,172.089
22,173.015
23,173.608
24,173.928
25,174.168
26,174.560
27,175.281
28,175.892
29,176.671
30,177.223
31,177.573
32,178.067
33,178.510
34,179.587
35,180.381
36,180.919
37,182.137
38,182.637
39,183.465
40,183.719
41,185.411
42,186.387
43,187.223
44,189.354
45,190.137
46,192.166
47,193.898
48,196.272
49,203.564
50,213.465
51,216.431
52,219.697
53,222.108
54,227.895
55,230.146
56,231.034
57,233.901
58,235.833
59,236.619
60,240.001
61,243.754
62,245.726
63,247.313
64,248.119
65,249.978
66,252.450
67,253.199
68,254.398
69,256.392
70,257.277
71,258.271
72,258.780
73,260.200
74,260.724
75,261.679
76,263.043
77,264.517
78,265.176
79,265.623
80,267.899
81,274.798
82,279.042
83,283.230
84,290.101
85,293.747
86,298.830
87,309.827
88,316.939
89,323.826
90,331.368
91,332.369
92,334.613
93,335.750
94,337.461
95,340.062
96,342.874
97,344.230
98,346.195
99,353.679
100,413.894
