Percentage served,Time in ms
0,142.819
1,156.103
2,160.151
3,162.352
4,164.990
5,165.614
6,166.023
7,167.664
8,168.116
9,168.575
10,169.377
11,170.242
12,171.481
13,171.789
14,172.678
15,173.382
16,174.219
17,175.751
18,176.977
19,177.425
20,178.038
21,179.111
22,179.828
23,180.515
24,180.814
25,181.484
26,182.403
27,183.138
28,183.957
29,184.890
30,186.030
31,186.349
32,186.603
33,187.293
34,188.705
35,189.452
36,190.895
37,191.669
38,192.037
39,192.161
40,192.725
41,193.721
42,194.205
43,195.485
44,197.476
45,200.852
46,203.649
47,204.641
48,206.600
49,214.601
50,220.974
51,223.924
52,225.454
53,226.245
54,227.283
55,229.021
56,229.509
57,230.283
58,232.009
59,233.105
60,234.081
61,237.337
62,239.297
63,240.654
64,242.384
65,242.773
66,243.719
67,244.303
68,246.021
69,247.183
70,248.108
71,249.451
72,250.457
73,252.241
74,253.228
75,255.062
76,258.216
77,264.754
78,266.276
79,272.174
80,275.808
81,281.128
82,287.002
83,295.456
84,303.911
85,309.263
86,315.656
87,320.311
88,323.887
89,327.392
90,327.622
91,329.524
92,334.412
93,336.477
94,337.575
95,342.773
96,345.210
97,350.486
98,361.562
99,647.355
100,920.580
