Percentage served,Time in ms
0,185.930
1,200.120
2,204.240
3,206.882
4,207.950
5,209.346
6,210.462
7,213.351
8,215.271
9,217.181
10,218.776
11,219.678
12,220.934
13,222.779
14,223.428
15,224.864
16,225.856
17,226.785
18,227.664
19,228.308
20,228.630
21,229.639
22,230.836
23,231.299
24,232.122
25,233.064
26,234.123
27,234.674
28,234.943
29,235.933
30,236.801
31,237.173
32,238.606
33,239.593
34,240.598
35,241.599
36,242.303
37,243.403
38,243.993
39,244.606
40,245.345
41,246.213
42,247.008
43,247.847
44,248.995
45,250.982
46,251.532
47,251.969
48,252.922
49,253.677
50,254.489
51,255.255
52,256.115
53,256.918
54,258.354
55,260.298
56,261.134
57,261.457
58,262.266
59,263.695
60,265.068
61,265.758
62,266.984
63,268.000
64,269.585
65,271.773
66,272.885
67,273.915
68,275.443
69,277.793
70,279.315
71,282.211
72,283.566
73,288.533
74,290.987
75,293.084
76,297.551
77,302.030
78,305.830
79,309.100
80,313.504
81,319.725
82,325.553
83,329.291
84,334.693
85,341.209
86,354.553
87,368.379
88,384.381
89,398.064
90,407.987
91,424.179
92,438.114
93,610.481
94,965.030
95,981.983
96,995.445
97,1008.884
98,1013.855
99,1050.022
100,1076.405
