Percentage served,Time in ms
0,134.314
1,140.407
2,142.921
3,144.808
4,146.331
5,148.055
6,149.048
7,150.223
8,150.975
9,151.629
10,152.811
11,153.009
12,153.940
13,155.013
14,156.006
15,157.094
16,157.658
17,158.475
18,158.695
19,159.766
20,160.733
21,161.553
22,162.737
23,163.424
24,164.197
25,164.989
26,165.616
27,166.179
28,166.580
29,167.741
30,168.234
31,169.084
32,169.757
33,170.270
34,171.241
35,171.855
36,172.214
37,172.491
38,172.966
39,173.828
40,174.265
41,176.299
42,177.380
43,177.997
44,179.992
45,180.579
46,182.361
47,184.826
48,188.060
49,193.062
50,198.675
51,205.206
52,209.363
53,212.668
54,215.006
55,215.598
56,216.402
57,217.491
58,219.041
59,220.193
60,220.908
61,222.582
62,226.188
63,226.858
64,227.436
65,228.766
66,229.957
67,232.759
68,234.407
69,235.969
70,238.163
71,240.970
72,243.093
73,243.711
74,245.109
75,248.083
76,249.602
77,250.289
78,251.885
79,253.483
80,254.763
81,256.191
82,257.680
83,259.536
84,260.226
85,261.905
86,264.382
87,272.039
88,275.295
89,281.254
90,296.349
91,303.581
92,308.584
93,311.945
94,318.167
95,326.779
96,336.584
97,350.645
98,488.891
99,19241.876
100,19315.775
