Percentage served,Time in ms
0,141.357
1,148.639
2,149.900
3,150.627
4,152.213
5,153.649
6,155.228
7,156.221
8,157.247
9,158.288
10,160.445
11,161.657
12,162.887
13,163.914
14,165.002
15,165.818
16,166.841
17,167.845
18,169.370
19,169.671
20,170.212
21,170.726
22,171.397
23,172.080
24,172.690
25,173.304
26,173.871
27,174.594
28,174.938
29,175.561
30,176.886
31,177.633
32,179.011
33,180.351
34,181.379
35,182.981
36,185.762
37,186.943
38,188.035
39,188.881
40,191.574
41,193.664
42,197.242
43,198.880
44,205.653
45,207.323
46,210.568
47,212.685
48,215.352
49,218.220
50,219.154
51,220.112
52,220.992
53,222.244
54,223.185
55,224.410
56,225.525
57,225.979
58,228.279
59,229.210
60,229.330
61,231.062
62,231.548
63,232.436
64,233.723
65,234.945
66,235.483
67,237.515
68,238.300
69,241.091
70,242.780
71,244.255
72,245.777
73,248.171
74,249.435
75,250.332
76,251.229
77,252.510
78,256.870
79,258.191
80,261.848
81,262.564
82,266.402
83,268.450
84,272.526
85,280.562
86,285.068
87,291.531
88,295.144
89,302.448
90,306.472
91,313.247
92,317.635
93,325.257
94,334.398
95,339.832
96,346.661
97,423.140
98,793.423
99,19177.309
100,19355.769
