Percentage served,Time in ms
0,252.620
1,261.540
2,265.138
3,269.219
4,271.049
5,272.785
6,274.473
7,276.684
8,277.198
9,278.083
10,278.597
11,279.765
12,280.660
13,281.560
14,282.770
15,283.529
16,284.219
17,284.919
18,285.298
19,285.593
20,286.154
21,286.530
22,286.953
23,287.367
24,288.432
25,288.993
26,289.611
27,289.892
28,290.503
29,291.107
30,291.438
31,291.696
32,291.794
33,292.043
34,292.686
35,293.425
36,293.894
37,294.717
38,295.531
39,296.015
40,296.388
41,297.047
42,297.725
43,298.035
44,298.449
45,298.969
46,299.343
47,299.880
48,300.222
49,300.593
50,301.048
51,301.124
52,301.261
53,301.780
54,302.490
55,303.067
56,303.349
57,303.855
58,304.573
59,305.175
60,305.603
61,306.315
62,306.815
63,307.347
64,307.931
65,308.575
66,308.958
67,309.070
68,309.633
69,309.954
70,311.118
71,311.682
72,312.322
73,313.184
74,314.104
75,314.503
76,315.023
77,315.842
78,316.752
79,317.817
80,318.941
81,320.420
82,320.651
83,321.192
84,322.353
85,323.283
86,324.635
87,325.772
88,327.479
89,328.225
90,329.853
91,335.872
92,343.046
93,348.462
94,350.998
95,355.834
96,380.382
97,843.365
98,890.046
99,1015.515
100,1079.165
