Percentage served,Time in ms
0,136.330
1,148.488
2,150.725
3,154.575
4,156.227
5,157.451
6,158.166
7,159.031
8,159.735
9,161.044
10,161.960
11,162.466
12,162.968
13,163.353
14,163.736
15,164.246
16,164.618
17,165.557
18,166.278
19,166.688
20,167.431
21,168.001
22,168.288
23,168.621
24,168.984
25,169.693
26,170.217
27,170.945
28,171.718
29,171.923
30,172.436
31,172.760
32,173.238
33,174.114
34,174.569
35,174.869
36,175.235
37,175.507
38,175.990
39,176.296
40,177.025
41,177.744
42,178.219
43,178.405
44,178.734
45,179.238
46,179.575
47,180.118
48,180.323
49,180.701
50,181.274
51,181.467
52,181.839
53,182.118
54,182.481
55,182.663
56,182.877
57,183.107
58,183.348
59,183.606
60,183.978
61,184.308
62,184.661
63,184.827
64,185.418
65,185.846
66,186.131
67,186.318
68,186.679
69,187.029
70,187.468
71,187.665
72,187.979
73,188.449
74,189.016
75,189.306
76,189.511
77,189.767
78,190.225
79,190.688
80,191.288
81,191.812
82,192.186
83,192.695
84,194.156
85,195.214
86,196.285
87,197.126
88,198.696
89,201.010
90,202.178
91,206.639
92,209.736
93,218.662
94,230.420
95,237.180
96,284.205
97,891.391
98,931.318
99,961.489
100,1652.901
