Percentage served,Time in ms
0,128.816
1,145.358
2,147.217
3,150.627
4,152.130
5,153.404
6,154.214
7,155.418
8,157.072
9,158.360
10,159.478
11,159.815
12,160.631
13,161.264
14,161.398
15,162.095
16,162.681
17,163.028
18,163.506
19,163.745
20,164.266
21,164.750
22,165.093
23,165.541
24,165.809
25,166.403
26,166.799
27,166.941
28,167.243
29,167.834
30,168.087
31,168.318
32,168.776
33,169.194
34,169.393
35,170.054
36,170.249
37,170.625
38,171.055
39,171.340
40,171.881
41,172.140
42,172.732
43,172.954
44,173.160
45,173.756
46,174.332
47,174.742
48,174.958
49,175.019
50,175.287
51,175.824
52,175.965
53,176.205
54,176.503
55,176.824
56,177.259
57,177.440
58,177.806
59,178.423
60,178.748
61,179.325
62,179.607
63,179.982
64,180.430
65,180.792
66,181.072
67,181.576
68,182.291
69,183.134
70,183.599
71,183.877
72,184.496
73,184.703
74,185.370
75,185.493
76,185.845
77,186.426
78,186.694
79,187.388
80,187.799
81,188.318
82,189.032
83,190.775
84,191.447
85,193.417
86,194.113
87,195.601
88,196.238
89,198.649
90,201.998
91,208.541
92,217.271
93,226.578
94,237.938
95,268.899
96,284.015
97,437.009
98,927.819
99,19169.393
100,19227.514
