Percentage served,Time in ms
0,171.381
1,177.821
2,180.508
3,183.246
4,184.921
5,186.613
6,188.791
7,190.048
8,191.334
9,192.354
10,192.966
11,193.977
12,194.968
13,195.717
14,196.808
15,197.104
16,197.787
17,198.294
18,199.204
19,199.543
20,199.977
21,200.735
22,201.020
23,201.510
24,201.997
25,202.306
26,202.825
27,203.369
28,203.643
29,204.232
30,204.820
31,205.284
32,205.613
33,206.029
34,206.619
35,206.915
36,207.598
37,208.045
38,208.476
39,209.137
40,209.352
41,209.951
42,210.250
43,210.644
44,210.832
45,211.720
46,212.012
47,212.282
48,212.665
49,212.873
50,213.265
51,213.500
52,213.857
53,214.439
54,214.929
55,215.558
56,216.100
57,216.626
58,217.145
59,218.075
60,218.978
61,219.569
62,220.041
63,220.422
64,220.946
65,221.292
66,222.350
67,222.829
68,223.752
69,224.468
70,224.824
71,225.422
72,226.062
73,227.272
74,227.844
75,228.384
76,229.035
77,229.543
78,231.228
79,232.958
80,234.502
81,236.492
82,237.938
83,238.615
84,242.628
85,243.399
86,246.171
87,247.132
88,253.112
89,256.083
90,264.683
91,299.054
92,347.361
93,439.975
94,556.812
95,918.249
96,935.475
97,960.574
98,973.336
99,999.704
100,19216.078
