Percentage served,Time in ms
0,129.975
1,147.042
2,152.425
3,154.873
4,156.242
5,157.564
6,157.969
7,159.431
8,161.413
9,162.394
10,162.927
11,163.389
12,163.852
13,164.190
14,164.832
15,165.426
16,165.662
17,166.613
18,167.099
19,167.674
20,167.889
21,168.485
22,168.923
23,169.105
24,169.579
25,169.915
26,170.327
27,170.715
28,171.243
29,171.741
30,171.980
31,172.826
32,173.080
33,173.531
34,173.872
35,174.387
36,174.788
37,175.189
38,175.285
39,175.555
40,175.657
41,176.059
42,176.282
43,176.593
44,176.868
45,177.304
46,177.430
47,177.795
48,178.181
49,178.419
50,178.892
51,179.133
52,179.376
53,179.531
54,179.789
55,179.962
56,180.315
57,180.565
58,180.666
59,180.946
60,181.281
61,181.619
62,182.108
63,182.475
64,183.008
65,183.075
66,183.351
67,183.850
68,184.373
69,185.018
70,185.322
71,185.700
72,185.964
73,186.098
74,186.671
75,187.559
76,187.859
77,188.151
78,188.370
79,189.050
80,189.461
81,189.853
82,190.514
83,191.472
84,192.207
85,193.394
86,194.019
87,195.323
88,195.852
89,197.198
90,198.414
91,199.584
92,201.512
93,205.836
94,213.257
95,220.392
96,225.881
97,274.582
98,310.562
99,880.292
100,951.518
